codigo_barras,descripcion,marca,proveedor,contenido
7730197008076,"AGUA SABORIZADA AQUARIUS MANZANA 1,5L",AQUARIUS,MONTEVIDEO REFRESCOS S.R.L.,1500
7730197008597,"AGUA SABORIZADA AQUARIUS NARANJA 1,5L",AQUARIUS,MONTEVIDEO REFRESCOS S.R.L.,1500
7730197008006,"AGUA SABORIZADA AQUARIUS PERA 1,5L",AQUARIUS,MONTEVIDEO REFRESCOS S.R.L.,1500
7734284001913,"AGUA SABORIZADA H2OH! CITRUS 1,5L",H2OH!,FNC S.A.,1500
7734284001185,"AGUA SABORIZADA H2OH! LIMA LIMON 1,5L",H2OH!,FNC S.A.,1500
7734284001766,"AGUA SABORIZADA H2OH! LIMONETO 1,5L",H2OH!,FNC S.A.,1500
7734284001157,"AGUA SABORIZADA H2OH! NARANCHELO 1,5L",H2OH!,FNC S.A.,1500
07730400003002,"AGUA SABORIZADA SALUS FRUTTE DURAZNO 1,65L",SALUS FRUTTE,COMPAÑIA SALUS SA,1650
7730400003361,"AGUA SABORIZADA SALUS FRUTTE FRUTILLA 1,65L",SALUS FRUTTE,COMPAÑIA SALUS SA,1650
7730400003104,"AGUA SABORIZADA SALUS FRUTTE MANZANA 1,65L",SALUS FRUTTE,COMPAÑIA SALUS SA,1650
7730400003432,"AGUA SABORIZADA SALUS FRUTTE MARACUYA 1,65L",SALUS FRUTTE,COMPAÑIA SALUS SA,1650
7730400003920,"AGUA SABORIZADA SALUS FRUTTE NARANJA 1,65L",SALUS FRUTTE,COMPAÑIA SALUS SA,1650
07730400003310,"AGUA SABORIZADA SALUS FRUTTE PERA 1,65L",SALUS FRUTTE,COMPAÑIA SALUS SA,1650
7730400003480,"AGUA SABORIZADA SALUS FRUTTE POMELO 1,65L",SALUS FRUTTE,COMPAÑIA SALUS SA,1650
7730400003980,"AGUA SABORIZADA SALUS FRUTTE MANZANA 2,25L",SALUS FRUTTE,COMPAÑIA SALUS SA,2250
7730400003300,"AGUA SABORIZADA SALUS FRUTTE NARANJA 2,25L",SALUS FRUTTE,COMPAÑIA SALUS SA,2250
7730400003556,"AGUA SABORIZADA SALUS FRUTTE POMELO 2,25L",SALUS FRUTTE,COMPAÑIA SALUS SA,0
7730400001707,"AGUA SABORIZADA SALUS FRUTTE CERO ANANA 1,65L",SALUS FRUTTE CERO,COMPAÑIA SALUS SA,1650
7730400001518,"AGUA SABORIZADA SALUS FRUTTE CERO NARANJA 1,65L",SALUS FRUTTE CERO,COMPAÑIA SALUS SA,1650
7730400001835,"AGUA SABORIZADA SALUS FRUTTE CERO POMELO 1,65L",SALUS FRUTTE CERO,COMPAÑIA SALUS SA,1650
7730400001247,"AGUA SABORIZADA SALUS FRUTTE CERO NARANJA 2,25L",SALUS FRUTTE CERO,COMPAÑIA SALUS SA,2250
7730400001161,"AGUA SABORIZADA SALUS FRUTTE CERO POMELO 2,25L",SALUS FRUTTE CERO,COMPAÑIA SALUS SA,2250
